Place_Name,Road_Type,Day_Type,Weather,Morning_Traffic,Afternoon_Traffic,Evening_Traffic,Night_Traffic,Peak_Hour,Two_Wheelers,Cars,Auto_Rickshaws,Buses,Trucks,Avg_Speed_kmph,Signal_Delay_sec,Accident_Count,Noise_Level_dB,Air_Quality_Index,CO2_Emission_gkm,Fuel_Consumption_L,Road_Width_m,Lane_Count,Visibility_m,Comments
,Rural,Weekday,Clear,6027,1785,5965,1949,No,7708,5626,3926,357,2314,-1.9,378,-2,102.4,283,331.4,55.33,14.2,7,1692,Signal issue
Rasipuram Rd,,Weekday,Sunny,7310,5469,5876,749,N,1835,4250,482,231,1454,53.3,234,9,54.4,356,126.9,39.59,14.9,4,1200,Signal issue
Salem road,City,weekday,Sunny,68,8922,9884,1056,No,1565,5440,785,644,657,8.4,112,0,105.9,150,571.9,29.27,19.7,5,994,Accident zone
Salem road,,Weekday,Foggy,7570,7150,3451,1475,,4454,1815,871,454,1340,67.4,80,-1,73.1,351,512.2,42.04,15.7,5,1098,
Rasipuram Rd,Rural,Weekend,Clear,1058,3770,11451,50,Y,-208,2693,2529,559,2665,-2.9,81,1,49.4,190,204.0,67.63,14.6,2,311,Signal issue
Salem road,City,Weekend,,7700,241,9556,3118,,4867,5809,3370,160,2728,35.7,269,1,78.4,137,617.1,12.12,12.6,0,450,Accident zone
,city road,Weekend,Rainy,3779,3813,4557,3,Y,77,1856,3139,502,1641,5.2,41,7,110.3,424,348.3,60.61,3.7,0,273,Signal issue
,Rural,Weekday,Sunny,7339,8703,1422,1210,N,-296,6358,1615,147,2631,39.6,272,4,81.9,201,208.0,12.14,15.6,2,496,Heavy traffic
Paramathi Rd,,Weekend,Clear,4200,8107,9115,700,Yes,4357,501,3344,478,683,-2.2,55,-2,60.8,247,582.9,19.66,6.1,3,1789,
Tiruchengode Road,City,weekday,,6177,4958,6017,2224,Yes,4610,2870,2273,794,284,84.3,137,3,48.7,233,402.3,42.39,10.7,0,1536,Heavy traffic
,,Weekday,Foggy,3780,1767,3370,3588,,2858,3589,1774,12,280,20.1,297,0,87.8,450,452.4,47.72,15.3,0,1472,Signal issue
Salem road,,Weekday,Sunny,6748,-4,9063,2687,Yes,8584,2198,650,94,1326,21.3,12,5,80.0,263,304.7,-1.63,14.4,7,744,
Salem road,,Weekday,Clear,1503,5597,9422,2943,Yes,3823,2886,1251,126,3343,62.9,193,3,68.8,248,465.2,60.0,12.9,0,228,
Tiruchengode Road,,weekday,Foggy,-173,3072,8009,1328,N,1131,398,662,163,2048,89.3,98,0,113.5,247,151.4,64.25,16.2,6,582,
,,Weekday,Foggy,4617,6346,7994,3360,,5170,3499,2683,96,1871,72.4,446,8,64.3,126,428.3,8.22,3.6,6,799,Signal issue
Tiruchengode Road,Rural,weekday,Rainy,6215,8919,9060,3491,Y,8741,1254,1548,343,2065,31.1,112,7,85.9,289,412.5,57.63,6.6,6,1070,
Namakkal Town,Rural,weekday,Foggy,4856,4775,10757,2188,No,359,2441,3946,627,2386,63.0,174,7,102.3,373,424.7,29.61,17.0,4,454,Heavy traffic
Tiruchengode Road,,weekday,Clear,4114,4826,8118,2070,Y,719,3038,2354,855,2808,32.9,236,4,100.9,384,317.7,28.18,16.0,6,932,
Namakkal Town,Rural,Weekday,Rainy,6310,8652,5803,558,N,2267,3979,854,287,1945,42.9,47,4,46.9,460,384.3,11.48,6.0,6,214,
Tiruchengode Road,City,Weekend,,1798,6525,1484,1808,Yes,-171,6166,1920,235,2912,63.9,262,7,111.6,308,466.1,60.34,9.5,7,672,Accident zone
,city road,Weekend,Clear,6543,5627,6993,2886,No,7670,5395,2488,236,3147,32.2,154,9,71.5,368,80.6,68.35,16.5,6,1811,
,NH,Weekday,,7899,3658,8757,1119,No,1343,-107,-72,351,2798,77.9,464,-2,40.3,450,616.7,23.5,3.1,3,957,Accident zone
Paramathi Rd,SH,,Rainy,5759,8397,4746,3764,Yes,813,3835,1986,139,1541,16.9,327,0,71.9,498,151.9,8.69,12.8,5,252,Signal issue
,,,Rainy,349,8353,5032,778,Yes,6030,4642,1678,354,3153,42.4,203,-2,102.8,385,250.9,78.16,10.8,4,1172,
Tiruchengode Road,NH,,Sunny,561,7411,3953,3515,Y,7869,2287,1995,370,467,59.0,233,0,85.4,222,591.0,36.85,18.9,0,359,Signal issue
Paramathi Rd,Rural,,,6632,3262,8141,2414,,6498,514,53,50,2368,85.3,139,5,102.5,365,603.1,29.55,9.8,1,1693,
,,weekday,Rainy,631,7840,107,3265,Yes,5412,1668,2337,294,3044,2.6,-9,0,55.0,394,299.2,43.63,16.7,5,377,
Namakkal Town,Rural,weekday,Rainy,1498,453,1433,3271,,4305,663,1113,346,3153,85.9,-17,7,113.8,281,335.8,68.82,11.5,0,1319,Accident zone
Rasipuram Rd,SH,,,4158,2957,6956,1779,Y,3078,391,1376,266,2283,87.7,21,7,68.0,296,536.4,15.55,6.8,2,727,Heavy traffic
,Rural,Weekday,,1184,6713,6965,1898,No,3491,6228,1543,768,2065,10.7,276,5,69.7,438,628.8,62.33,14.2,7,784,
Rasipuram Rd,city road,Weekday,Foggy,-72,1262,6904,3198,Y,8762,4563,2167,476,812,12.1,357,-1,80.3,298,295.6,35.15,7.9,4,138,Signal issue
Paramathi Rd,,Weekday,Clear,5460,1731,6013,205,N,878,6427,680,339,3017,6.4,184,1,89.8,43,427.4,46.48,8.4,4,1084,Heavy traffic
Salem road,Rural,Weekend,,225,7162,4841,2018,Yes,4648,1524,3924,138,2403,29.5,172,0,59.7,455,628.4,79.55,9.3,1,673,
,city road,Weekday,Rainy,5869,3508,3850,1255,No,665,6825,185,699,3174,17.3,266,7,43.5,339,628.3,53.21,3.2,3,1610,Signal issue
Salem road,,Weekend,,7051,6837,11524,1507,,2684,6525,2547,52,2158,60.1,241,5,73.2,401,122.9,35.59,13.6,5,1490,Signal issue
Paramathi Rd,NH,weekday,Sunny,1533,3887,11859,2661,N,2161,926,2729,71,806,59.5,113,5,58.7,202,346.7,2.21,8.5,0,679,
,,,Foggy,2783,6087,974,577,No,42,2634,3605,268,1055,45.2,105,-2,43.7,374,309.5,12.99,9.2,1,1099,
,NH,Weekday,Clear,467,2931,10284,867,Y,7493,6271,1157,182,3128,34.1,382,5,98.2,26,455.9,78.16,19.3,1,442,Accident zone
Salem road,,Weekday,Rainy,6996,206,9169,3908,Y,1798,6775,1423,231,143,39.9,142,1,45.6,184,494.3,70.02,19.1,3,1043,
Rasipuram Rd,,weekday,Foggy,7744,4793,10897,2987,,2445,6291,2768,774,2380,25.0,261,9,119.2,425,546.4,-4.26,4.9,7,896,
,Rural,Weekday,Rainy,7222,3032,3876,1321,N,4900,5878,483,805,2871,11.7,387,-2,70.7,411,350.0,61.52,8.8,6,1156,Accident zone
Rasipuram Rd,,Weekend,Sunny,1936,7350,2772,2337,N,1739,2156,3566,395,2162,33.9,141,4,40.7,385,503.1,57.1,19.7,7,1472,
,NH,Weekday,Rainy,1895,7351,5394,2326,No,6186,250,1327,568,2319,79.9,160,2,89.2,27,346.0,30.08,3.3,6,443,
Rasipuram Rd,City,Weekday,,3106,6461,1807,320,Yes,3268,2597,2289,485,813,-6.2,489,8,88.5,139,354.1,33.89,17.6,5,428,
Namakkal Town,City,weekday,Sunny,6514,3574,1677,3821,,5141,415,3318,225,657,-3.3,362,7,61.1,263,525.6,43.52,6.7,0,846,Heavy traffic
Rasipuram Rd,city road,weekday,Foggy,1745,4740,41,2467,No,7824,4359,1753,491,805,80.8,491,1,55.0,84,186.2,45.26,10.1,6,1059,Heavy traffic
,SH,,,2822,3815,7462,3565,N,2535,4284,2675,401,3481,40.1,164,7,41.0,48,489.0,24.6,8.2,3,925,
Namakkal Town,,Weekend,Rainy,5922,3031,5195,812,Yes,2907,3696,2146,368,170,73.7,110,-2,57.1,50,528.8,69.22,19.8,2,1588,Heavy traffic
Namakkal Town,City,Weekday,Clear,4222,6733,6640,3528,Y,3899,1717,1756,593,2451,-4.4,475,6,118.8,204,401.3,0.52,5.9,7,560,Accident zone
,Rural,weekday,Rainy,4419,5542,10814,1753,,5081,2552,3647,-5,1271,-1.9,87,8,40.5,208,341.6,28.98,13.2,2,1549,
Namakkal Town,city road,weekday,Clear,3742,6544,2432,873,Y,4284,4634,829,-16,525,10.5,304,5,93.9,92,280.1,23.14,4.6,1,905,Signal issue
,Rural,Weekday,Rainy,5600,5472,771,3448,Yes,2443,3467,1316,93,2222,15.4,391,0,86.6,100,383.8,61.05,16.1,7,665,
,City,Weekend,,6059,1315,2778,1253,Y,7696,6947,336,598,1653,27.8,-7,6,111.9,332,297.5,4.03,4.1,5,596,Signal issue
Rasipuram Rd,Rural,Weekday,Foggy,2918,6228,8218,3259,No,4195,4545,70,220,1724,-9.3,29,2,71.2,432,574.5,9.63,16.6,3,485,
Tiruchengode Road,NH,,Sunny,5630,8195,5541,2143,,3242,5355,775,80,1626,43.7,257,6,98.9,145,351.0,32.74,13.3,7,1008,Heavy traffic
,Rural,weekday,Clear,2884,5750,8205,3694,Yes,4060,1263,3003,33,1335,17.9,366,-2,46.9,377,248.7,19.29,9.2,6,1348,Accident zone
Rasipuram Rd,NH,,Rainy,7873,-21,4687,1003,Yes,2707,5298,1653,228,1867,3.6,314,4,74.3,124,258.6,57.77,4.8,1,1365,
,,Weekend,Foggy,4839,4706,9027,1882,Yes,8330,2300,1893,489,599,15.0,324,5,79.5,180,597.2,23.82,14.1,4,69,Accident zone
Rasipuram Rd,Rural,,Foggy,5282,4912,9153,3366,Y,4716,5934,726,381,3184,87.7,236,9,50.9,371,297.5,3.26,14.8,4,1111,
Salem road,city road,Weekday,Foggy,6829,3723,8362,1340,Yes,769,4020,3742,130,3278,7.8,40,3,56.1,51,358.7,16.22,16.7,0,1947,
Tiruchengode Road,City,Weekday,Sunny,5968,147,10583,3604,Yes,1781,3503,2947,147,3028,5.2,175,6,99.9,191,644.3,33.75,3.5,1,274,Heavy traffic
Salem road,city road,Weekday,Sunny,5772,7569,1042,1296,No,7937,5143,1011,389,2768,81.2,-15,2,50.4,308,294.3,18.64,7.8,0,732,Heavy traffic
Rasipuram Rd,NH,Weekend,Sunny,2702,3278,5699,1817,N,1244,1096,1283,433,1,87.3,168,-2,66.9,290,598.7,75.35,10.0,7,673,Accident zone
Paramathi Rd,Rural,,,6681,2658,3451,3327,N,4054,155,1851,124,1504,60.7,1,6,59.2,292,578.6,62.29,4.7,0,236,
Salem road,NH,Weekend,,6584,2246,6702,394,Y,802,5095,3278,834,2860,15.4,116,3,111.6,361,565.3,60.39,10.7,4,1208,Heavy traffic
Salem road,,weekday,Clear,5214,6502,10512,3774,Y,8899,1036,1792,119,898,18.8,74,8,71.7,54,193.6,7.66,9.7,3,611,Accident zone
Paramathi Rd,,weekday,Foggy,-14,8298,1149,2445,No,5840,1692,636,158,1490,15.4,132,1,57.5,143,147.7,78.3,19.8,7,1769,
Namakkal Town,SH,Weekday,,6694,7481,8654,3589,,5579,324,5,244,1873,6.0,322,1,40.6,31,105.8,20.24,16.7,0,79,
Paramathi Rd,NH,weekday,,1652,428,8035,1136,,3498,5891,172,427,1329,55.5,385,6,42.0,462,263.2,71.91,19.9,5,307,
,Rural,Weekend,Sunny,6610,6868,1321,2788,No,7433,5915,2261,688,1515,83.9,-14,2,103.8,121,169.4,25.99,3.9,5,1885,Accident zone
Tiruchengode Road,City,,Foggy,5639,7557,2174,3252,,-56,1958,1543,630,2978,57.7,197,0,44.5,427,162.0,8.17,13.1,4,492,
Salem road,City,,Sunny,7417,6110,6684,14,Yes,5603,6657,1336,339,1466,27.8,-29,3,95.6,380,615.3,60.77,17.3,4,501,Heavy traffic
Tiruchengode Road,City,weekday,Clear,1703,3591,9141,3136,No,8747,729,128,135,2879,7.7,40,1,115.0,339,306.4,26.76,8.5,7,177,Heavy traffic
Namakkal Town,NH,Weekend,,6718,432,1998,1567,No,8524,2679,2003,460,3052,87.5,434,9,63.4,87,369.7,6.05,11.0,7,1408,Signal issue
Namakkal Town,City,Weekday,Clear,6209,8516,4121,939,N,8706,2795,2772,324,701,75.4,484,4,98.3,495,94.0,41.12,13.9,2,1088,Signal issue
Paramathi Rd,NH,Weekday,Foggy,3816,3885,9746,1545,Y,8609,1281,3942,146,1448,61.3,279,7,64.4,491,362.5,5.57,12.2,2,384,Accident zone
Paramathi Rd,city road,weekday,Clear,7150,3872,3848,86,Yes,6623,-39,3067,219,2517,55.4,346,5,83.6,31,246.4,1.83,4.1,6,1521,Signal issue
,Rural,Weekend,,7732,1023,6177,3124,N,6825,4285,3153,601,471,67.0,499,7,65.9,140,564.4,61.54,11.7,5,1743,Heavy traffic
,,Weekend,Sunny,333,6715,1880,2088,Y,413,5166,2647,256,1642,23.0,158,9,110.3,418,572.1,20.79,8.9,2,187,Heavy traffic
,,,Clear,3317,2181,11461,1836,N,3744,2388,3065,141,1226,53.2,111,9,100.7,43,136.5,39.54,15.7,1,1953,
,City,Weekday,Foggy,489,2225,1965,1025,Y,5859,6930,5,453,1036,13.9,83,-2,93.9,320,354.4,58.28,12.3,6,308,Heavy traffic
Salem road,Rural,Weekend,Foggy,1106,3747,1872,3727,Yes,7847,5128,2822,748,21,-7.5,259,0,53.8,211,210.3,54.65,19.3,4,1955,Signal issue
Paramathi Rd,NH,,Sunny,4147,4581,10493,1937,,749,4441,3962,358,94,44.6,278,2,61.8,165,582.6,27.5,10.9,3,592,Signal issue
,SH,weekday,Sunny,4624,4904,3914,925,Yes,601,5889,-24,286,2584,-7.9,223,7,101.5,378,641.0,3.44,8.2,6,291,
Tiruchengode Road,SH,,,56,8346,3662,1529,Y,2238,3209,572,726,748,-8.9,288,5,77.6,96,385.0,72.66,18.6,7,306,Accident zone
Paramathi Rd,Rural,Weekday,,3825,6235,7930,3887,No,629,5424,1847,201,298,81.1,43,7,92.9,215,496.3,78.49,18.4,5,206,
Namakkal Town,city road,weekday,Rainy,4732,5215,2657,1187,,-283,3858,2695,380,-24,83.9,158,9,68.8,372,380.9,1.3,14.6,2,1142,Signal issue
,,Weekday,Foggy,2116,5944,3398,3660,N,5397,1992,521,269,1856,17.7,86,8,41.5,428,181.7,17.15,4.1,0,668,Heavy traffic
Salem road,,Weekday,Rainy,333,8004,5234,3308,Yes,6705,2007,374,456,1953,-5.4,276,3,108.0,464,626.9,74.41,10.4,5,1997,Accident zone
Rasipuram Rd,city road,weekday,Clear,172,2839,5383,810,No,773,3799,2901,762,1386,39.2,418,0,69.0,486,103.4,75.85,17.6,1,738,
Paramathi Rd,City,Weekend,,2119,5942,9836,3744,N,4954,6851,2362,80,1137,18.5,450,3,103.8,286,322.2,1.56,17.9,3,197,
,SH,Weekend,,2790,4209,3212,178,No,8205,337,3888,476,1370,10.0,99,-2,100.5,423,448.0,69.8,7.0,4,483,Heavy traffic
,SH,weekday,Clear,1672,1776,8987,2465,N,7884,3539,3909,860,2022,22.9,112,2,88.7,472,496.8,68.48,15.6,1,1893,Accident zone
Paramathi Rd,City,,Rainy,3213,506,8044,3086,N,5420,1235,2044,437,1896,48.6,173,8,107.8,119,139.6,47.0,17.6,0,1464,
Tiruchengode Road,SH,Weekend,Clear,6495,7771,8539,2227,N,4670,198,1971,639,1744,-4.9,29,8,112.1,289,487.2,5.41,12.2,1,435,
Namakkal Town,city road,weekday,Sunny,307,7717,11802,3576,N,5002,5477,1477,637,2813,20.7,-22,6,70.5,360,175.4,73.78,11.4,1,697,
Tiruchengode Road,,Weekend,,657,2936,2903,2567,Yes,5142,1753,1763,118,1962,71.8,390,0,116.7,260,350.2,58.89,11.3,2,1512,
Salem road,City,weekday,Foggy,5783,7411,6073,3672,Yes,8839,3718,3480,378,2267,64.9,429,6,75.3,207,390.6,56.91,5.0,3,1041,
,city road,Weekday,Rainy,6674,5563,2382,2702,Yes,4204,1665,76,406,2854,25.6,322,5,100.2,388,147.3,64.71,5.8,0,1837,Accident zone
,Rural,Weekday,Sunny,843,2390,7385,2858,,5307,3926,3729,486,189,57.5,414,-2,41.9,289,609.5,-1.24,15.8,4,1522,Heavy traffic
Tiruchengode Road,City,weekday,Sunny,7263,7172,9456,1892,N,8828,6387,2581,716,2340,28.5,323,6,70.4,294,116.9,2.53,15.6,0,904,Heavy traffic
Paramathi Rd,NH,Weekend,Sunny,6659,6969,10758,3241,Yes,8262,334,3970,147,1519,2.2,318,1,42.5,207,118.5,53.71,7.0,7,907,
Rasipuram Rd,city road,Weekend,,527,3924,11567,2685,No,4851,862,2967,110,1947,60.7,178,5,101.0,470,222.2,39.04,7.6,4,1336,
Rasipuram Rd,Rural,,,1297,7397,4962,1237,N,1579,4172,3417,624,1842,-0.6,408,-1,103.5,289,610.4,17.53,4.1,6,208,
Tiruchengode Road,Rural,,,3941,7909,7960,2197,Yes,868,4479,607,229,1890,-7.3,96,-1,84.9,216,421.2,23.62,8.0,7,1771,Accident zone
,SH,,Sunny,5316,255,72,2922,No,965,3083,1962,779,397,7.2,446,5,94.9,458,146.8,27.99,16.1,3,283,
Rasipuram Rd,NH,,Foggy,2133,7965,6348,29,Y,6111,2369,2428,54,2638,35.5,358,-2,108.2,352,632.9,64.16,5.2,1,1890,Signal issue
Tiruchengode Road,city road,,,7961,5444,4689,2735,Yes,1700,590,1430,301,2002,-3.5,-4,2,43.9,389,178.2,13.28,11.0,6,1195,
Tiruchengode Road,SH,Weekday,Foggy,4856,1165,6228,1326,Y,3756,4972,3010,412,2350,21.3,104,-2,87.2,117,166.1,27.61,17.0,1,921,
,NH,Weekend,Sunny,7155,2564,2048,255,,2987,4532,682,284,2202,54.4,236,1,107.3,197,146.7,56.66,5.9,3,931,Accident zone
Paramathi Rd,Rural,Weekend,Foggy,41,4570,9890,3045,No,1959,2736,1697,114,2832,2.7,273,3,46.5,70,247.4,61.69,16.4,0,770,
Salem road,Rural,Weekend,Sunny,6669,7179,2077,1991,No,2691,1104,1327,475,847,88.5,361,5,87.2,94,95.3,68.46,7.1,2,1031,
,,,Clear,6245,2704,5874,2275,Y,5660,-124,108,864,226,73.9,28,6,47.6,388,589.3,8.1,5.8,3,284,Signal issue
,Rural,weekday,Foggy,1552,7400,2100,1039,,6234,1778,2914,686,2562,36.6,376,4,83.2,252,281.4,3.38,4.4,7,472,
Rasipuram Rd,,,Rainy,5182,8651,4403,3680,N,5504,3602,1361,814,-44,80.1,117,5,84.9,64,375.4,41.74,17.6,3,1378,Heavy traffic
Paramathi Rd,NH,,Sunny,-36,4011,11650,1491,No,5102,5236,2823,844,946,63.2,436,-2,66.2,497,137.4,1.33,5.0,3,1029,Signal issue
,City,Weekday,Clear,7113,1746,7074,64,Yes,7192,2306,785,742,2549,16.2,120,-1,89.4,323,153.3,53.82,16.6,6,959,Signal issue
,NH,Weekday,,1558,4076,10397,735,Y,7392,4442,261,74,2696,32.2,195,-1,52.2,316,138.4,22.29,17.0,2,1595,Accident zone
Tiruchengode Road,Rural,Weekday,,7973,8194,3856,1669,N,8341,5535,2253,-15,2562,83.9,168,-2,85.9,65,616.1,29.23,5.7,6,978,
Salem road,Rural,Weekend,Rainy,3380,2905,9506,12,No,3054,2187,1003,27,463,32.0,363,2,62.8,245,547.7,-1.1,17.9,7,64,
Rasipuram Rd,Rural,weekday,Sunny,4642,7248,583,2027,,6548,2339,476,192,2298,65.0,490,2,93.9,397,263.0,13.17,18.5,0,1011,Accident zone
,city road,,Clear,4814,802,4185,2698,,8372,1156,2227,830,1930,23.8,156,-2,53.0,261,582.1,3.2,4.3,1,948,
Tiruchengode Road,city road,,Clear,4391,7687,5356,928,No,1380,3651,405,26,1067,50.0,12,-2,71.7,301,218.2,9.54,7.4,6,182,Heavy traffic
Rasipuram Rd,Rural,weekday,Foggy,5264,568,9383,1312,N,4512,2540,1729,480,4,70.8,335,1,66.4,116,306.8,53.26,17.8,0,740,Accident zone
,SH,Weekend,Rainy,4519,6490,9020,2481,N,5803,1140,1330,149,2331,7.1,165,5,48.1,268,387.8,2.41,10.8,6,122,Accident zone
Namakkal Town,SH,weekday,Foggy,936,6713,9432,2318,,3532,3692,688,528,143,74.1,1,1,101.2,262,512.9,37.03,18.9,5,496,Signal issue
Salem road,city road,weekday,Foggy,2092,4878,3532,-4,,8877,1247,977,583,2402,33.4,248,-2,97.0,266,113.5,44.96,16.9,7,286,Heavy traffic
Namakkal Town,city road,Weekend,,357,4202,1376,2541,N,8169,1661,2702,275,478,41.6,19,-1,73.5,176,134.9,71.75,12.5,7,159,Signal issue
Paramathi Rd,City,weekday,Foggy,6027,7030,7229,2364,N,6940,-81,3942,803,1701,11.5,284,-1,66.9,275,506.7,18.51,15.9,4,1687,
Salem road,SH,weekday,Rainy,2396,4117,1064,1592,,8867,6893,453,273,1348,89.6,111,-1,82.0,172,137.0,29.43,14.9,2,1713,Accident zone
Rasipuram Rd,,Weekend,Sunny,6966,1342,11950,3465,N,2615,3630,629,725,472,12.3,9,8,41.2,45,337.9,55.14,16.2,0,400,Signal issue
Paramathi Rd,City,Weekday,Rainy,2653,3711,4503,834,Y,1499,5175,149,440,3360,12.4,429,3,59.5,28,306.1,42.81,14.2,7,1065,Signal issue
Namakkal Town,,Weekday,Sunny,5524,3733,1820,912,Yes,7346,2984,1202,334,2984,37.5,-25,-2,63.6,211,647.5,72.89,19.0,4,275,
,Rural,,Rainy,5567,5950,8569,493,N,4020,5637,2632,334,374,41.3,250,9,74.7,36,299.3,36.36,16.6,1,352,Heavy traffic
Namakkal Town,Rural,Weekday,Rainy,2336,1783,8742,3615,N,4478,766,753,131,2204,67.8,310,1,49.9,199,545.5,19.68,14.2,7,496,Accident zone
Paramathi Rd,city road,weekday,,7011,6685,3000,3716,Yes,1615,5128,895,452,1716,4.2,348,5,71.0,497,327.7,-3.62,4.2,0,870,Signal issue
Paramathi Rd,NH,Weekend,Foggy,1115,1933,2219,3766,N,7303,993,1710,0,1174,7.6,133,5,80.6,142,267.7,7.11,4.3,5,461,
,Rural,,,5758,2203,11325,3234,Y,2062,6567,276,224,1401,-8.7,196,3,41.2,293,482.9,76.03,4.7,6,50,Heavy traffic
Salem road,NH,weekday,Foggy,5610,6788,8885,3550,N,4489,2825,2372,439,276,50.4,81,1,70.7,36,175.7,22.67,15.5,2,1510,
,Rural,weekday,,6902,7866,7956,3047,,7434,1926,2545,714,2351,81.6,310,4,99.4,35,175.8,-3.06,7.3,3,1753,
Tiruchengode Road,Rural,Weekday,Sunny,-8,4489,9353,876,No,2074,3300,1794,524,127,25.6,171,3,54.6,334,554.9,21.95,16.7,6,607,Signal issue
,SH,Weekday,Rainy,422,5550,3949,3342,Yes,8791,5191,3616,571,1254,37.8,247,3,56.9,65,373.6,55.37,8.6,3,601,Signal issue
Paramathi Rd,Rural,Weekday,Rainy,4338,2300,8113,839,N,612,5131,3826,643,2181,68.3,424,3,50.1,429,603.7,65.08,15.2,4,927,Signal issue
Salem road,Rural,Weekday,Sunny,1555,4263,6196,3535,N,6923,1361,2775,67,2538,51.2,490,3,60.7,57,161.1,28.47,5.3,2,1045,Heavy traffic
Namakkal Town,city road,,,4044,5266,2661,858,Yes,1206,4985,2349,797,2274,4.7,389,0,102.5,352,452.3,39.13,4.8,1,1681,Signal issue
Namakkal Town,Rural,,Clear,3186,8668,4901,3574,N,5605,3107,2879,224,2112,39.2,491,1,112.7,77,312.2,64.15,9.7,6,176,
Namakkal Town,NH,Weekend,,4446,3563,320,3901,N,7411,753,2583,639,215,38.4,382,0,82.5,234,170.7,-0.84,5.2,5,356,Heavy traffic
Salem road,City,weekday,Sunny,3237,1879,4119,2915,No,1707,-39,2263,706,3266,-2.6,425,8,84.1,203,102.9,69.65,9.9,3,645,Heavy traffic
,NH,Weekend,Rainy,7637,7236,3928,1520,N,5611,6723,812,92,248,51.5,78,2,119.7,161,553.3,8.01,15.3,7,218,
Rasipuram Rd,,weekday,,3872,497,11056,2204,N,6810,6271,3756,47,537,0.4,344,-1,45.5,193,198.4,8.34,8.7,1,92,Accident zone
Salem road,Rural,,Sunny,7378,2523,11489,3584,Y,2150,1846,3407,127,1364,32.8,434,6,50.5,320,118.6,57.44,17.4,2,1579,Heavy traffic
Tiruchengode Road,SH,weekday,Rainy,6532,3357,10663,1904,Yes,8385,3870,273,608,2347,0.1,57,4,54.4,134,118.3,63.03,16.6,5,1044,Accident zone
,SH,Weekday,Clear,3701,6960,2377,200,N,7417,1800,3686,778,3227,83.0,481,-2,48.8,261,494.7,47.06,18.0,2,1522,Heavy traffic
Paramathi Rd,Rural,,Foggy,7923,3233,11633,1434,N,2336,6731,-18,584,1409,58.2,314,5,112.5,130,502.1,63.69,14.1,0,1430,Accident zone
Rasipuram Rd,NH,weekday,,5842,603,6804,1543,N,8107,673,2646,105,1086,62.1,487,3,60.3,446,462.5,72.67,13.7,4,1941,Heavy traffic
Rasipuram Rd,NH,,Sunny,3233,4630,11839,2626,Y,5593,917,1935,213,2848,47.5,284,-2,56.2,48,138.9,3.17,15.2,2,606,
Paramathi Rd,NH,Weekday,Sunny,406,959,6133,479,Yes,3949,1584,1099,477,2327,-9.7,347,7,117.6,185,238.3,8.92,16.1,1,981,Heavy traffic
Rasipuram Rd,NH,Weekend,Clear,6256,7502,2026,3273,No,2834,1501,2481,877,156,-4.1,29,3,41.5,87,636.2,12.44,19.9,5,595,
Tiruchengode Road,City,Weekend,Foggy,6483,1315,9939,267,Y,7960,1065,245,284,41,73.5,379,1,51.1,106,90.9,43.5,11.9,3,1636,Accident zone
Rasipuram Rd,SH,Weekend,,5802,8305,10545,2158,N,1916,3255,3026,162,782,-9.0,215,9,83.1,47,174.9,4.61,14.4,7,293,
Paramathi Rd,City,Weekday,Sunny,5941,7580,3483,3760,Y,701,237,3641,351,792,9.9,244,6,66.5,270,266.2,79.27,9.7,7,1038,Heavy traffic
Namakkal Town,SH,Weekend,Clear,7959,7253,1433,2319,Y,8091,1422,2688,111,1722,38.2,112,-1,47.7,442,502.5,59.65,18.3,0,1602,Signal issue
Paramathi Rd,NH,weekday,Sunny,5429,213,6192,527,Y,2581,4825,2761,100,1463,77.1,478,9,52.3,454,231.0,21.04,14.2,3,842,Heavy traffic
Namakkal Town,City,weekday,Clear,5656,5997,6585,1711,,583,4917,624,685,2173,63.0,295,8,73.5,237,594.7,22.4,13.9,6,641,Heavy traffic
Namakkal Town,city road,Weekend,Clear,545,5865,7570,1918,Y,214,4779,186,726,1231,73.8,444,0,77.2,38,424.4,70.45,14.0,7,1483,
Namakkal Town,Rural,,Rainy,7727,8698,4950,979,,8047,-129,2413,583,419,33.0,84,-1,52.4,255,126.4,18.11,6.7,0,706,
Tiruchengode Road,NH,weekday,,5466,6307,2306,2791,,6271,1607,2599,15,2321,70.2,82,-1,41.0,279,250.8,71.09,17.4,6,1657,Signal issue
Rasipuram Rd,,weekday,Sunny,2958,5108,5133,3519,Y,4154,1377,1363,682,1046,20.0,455,6,52.6,223,468.4,57.05,14.0,3,1844,Heavy traffic
Tiruchengode Road,Rural,Weekday,,2695,950,6336,1696,Yes,2620,5362,2209,662,1502,59.6,42,8,84.2,369,420.2,49.76,10.2,6,708,Accident zone
Paramathi Rd,city road,Weekday,Foggy,2841,772,10487,352,,5266,2631,1068,305,1551,12.2,404,0,41.0,481,422.7,37.23,17.4,7,1219,
Salem road,city road,,,7087,8038,9083,2053,N,4643,6632,221,86,1044,85.7,287,-1,89.4,167,334.9,44.34,11.8,5,1957,Accident zone
Paramathi Rd,city road,weekday,,1417,1303,5526,3344,Yes,2898,1567,634,579,832,50.5,443,3,112.2,37,612.7,71.1,17.2,3,1225,Accident zone
Tiruchengode Road,SH,,Sunny,6837,2899,4263,3862,N,6445,2150,3626,39,748,13.5,80,9,119.5,100,95.9,20.47,4.1,6,1953,
